acc_academie_francaise,acc_qfrcola,tex_class
9.86229242608343,62.66896368937185,red_dot
10.591332523288779,63.30506228465412,blue_dot
23.10652085864722,54.29366551815531,blue_dot
9.88254353989469,34.73363371322555,red_dot
9.78128797083839,64.1399416909621,red_dot
9.63953017415958,34.32282003710575,red_dot
10.044552450384769,31.95070235886562,red_dot
11.138112596192789,31.261595547309827,red_dot
10.02430133657351,32.09647495361781,red_dot
13.62899959497772,39.10681155579115,red_dot
7.513163223977309,45.4943016167506,red_dot
10.125556905629809,32.12297906175457,red_dot
19.52207371405427,53.71057513914656,blue_dot
10.49007695423248,51.76252319109462,blue_dot
15.775617658971239,39.50437317784256,red_dot
11.3811259619279,63.57010336602173,blue_dot
12.69744835965978,58.78611184733634,blue_dot
81.53098420413123,67.81076066790352,green_dot
67.33495342243823,70.14312218393852,green_dot
97.1445929526124,81.3543599257885,green_dot
99.00769542324828,82.53379273787436,green_dot
98.9469420818145,82.3085078187119,green_dot
98.46091535034428,82.62655711635304,green_dot
98.54191980558932,83.34216803604558,green_dot
95.84852166869177,81.31460376358336,green_dot
35.64196030781693,59.83302411873841,blue_dot
71.85095180234913,72.36946726742644,green_dot
69.88659376265694,30.50622846541214,red_dot
9.680032401782091,59.91253644314869,red_dot
96.41555285540704,80.8110257089849,green_dot
95.64601053057919,81.07606679035251,green_dot
97.61036857027136,80.86403392525841,green_dot
98.58242203321184,85.76729393055925,green_dot
97.30660186310249,82.89159819772065,green_dot
96.1320372620494,78.98224224754837,green_dot
96.35479951397328,82.8518420355155,green_dot
92.56784123126772,81.50013252054067,green_dot
97.5901174564601,83.99151868539624,green_dot
94.53219927095991,81.8976941425921,green_dot
98.29890643985419,83.50119268486615,green_dot
85.68246253543946,78.1473628412404,green_dot
95.84852166869177,82.70606944076332,green_dot
95.92952612393681,82.48078452160085,green_dot
95.1802349129202,81.73866949377154,green_dot
95.40299716484407,82.00371057513914,green_dot
97.347104090725,83.20964749536178,green_dot
96.7395706763872,80.16167505963423,green_dot
95.90927501012555,82.70606944076332,green_dot
10.429323612798699,49.23138086403393,red_dot
32.86755771567436,64.89530877285979,blue_dot
33.19157553665451,30.93029419560031,red_dot
72.09396516808424,72.51523986217863,green_dot
48.25840421223167,65.34587861118474,blue_dot
96.55731065208586,82.17598727802809,green_dot
5.18428513568246,35.555261065465146,red_dot
8.039692183070061,63.99416909620991,red_dot
82.82705548805185,79.44606413994168,green_dot
97.81287970838396,84.00477073946462,green_dot
97.81287970838396,85.32997614630268,green_dot
93.64115026326448,80.82427776305327,green_dot
53.07816929931146,53.45878611184733,blue_dot
94.77521263669502,80.69175722236946,green_dot
44.06642365330093,54.90326000530082,blue_dot
22.55974078574321,65.33262655711636,blue_dot
75.69866342648845,26.95467797508614,red_dot
91.85905224787363,77.85581765173602,green_dot
55.67031186715269,72.67426451099921,blue_dot
69.78533819360064,54.996024383779485,blue_dot
14.49979748886188,42.30055658627087,red_dot
12.616443904414739,31.60614895308772,red_dot
1.41757796678817,48.66154253909356,red_dot
9.82179019846091,55.963424330771275,red_dot
55.97407857432158,62.695467797508606,blue_dot
57.75617658971244,67.45295520805725,blue_dot
9.4775212636695,64.31221839385105,red_dot
12.59619279060348,48.30373707924728,red_dot
10.976103685702709,34.746885767293925,red_dot
36.289995949777236,60.15107341637954,blue_dot
16.48440664236533,31.831433872250198,red_dot
31.753746456055083,65.54465942221044,blue_dot
11.198865937626561,48.224224754836996,red_dot
1.7010935601458,47.4025974025974,red_dot
5.54880518428513,68.7119003445534,red_dot
47.2458485216687,58.3355420090114,blue_dot
11.097610368570269,37.96713490591041,red_dot
11.320372620494119,62.94725682480784,blue_dot
22.78250303766707,59.7005035780546,blue_dot
20.939651680842438,51.03366021733369,blue_dot
43.76265694613204,54.134640869334746,blue_dot
48.98744430943701,56.58627087198516,blue_dot
50.72904009720535,65.00132520540683,blue_dot
72.23572296476306,54.836999734958916,blue_dot
9.72053462940461,44.18234826398092,red_dot
16.11988659376265,54.916512059369204,blue_dot
22.86350749291211,64.70978001590247,blue_dot
38.55812069663831,46.249668698648286,red_dot
84.71040907249898,66.08799363901404,green_dot
53.94896719319563,42.486085343228204,red_dot
4.09072498987444,48.171216538563485,red_dot
38.6188740380721,44.116087993639006,red_dot
11.74564601053058,51.82878346143652,blue_dot
9.680032401782091,55.76464351974556,red_dot
0.42527339003645,58.73310363106281,red_dot
5.1640340218712,69.32149483169891,red_dot
14.317537464560552,67.18791412668963,blue_dot
33.0498177399757,54.09488470712961,blue_dot
10.2268124746861,60.12456930824278,red_dot
96.17253948967192,80.57248873575405,green_dot
